DateTime,beats_per_minute,TA(C),RH(%),TG(C),WBGT(C)
2024-11-21 11:04:42,118.0,27.3,38.2,32.9,21.6
2024-11-21 11:05:42,118.0,27.8,37.4,35.2,22.3
2024-11-21 11:06:42,118.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:20,103.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:24,106.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:29,106.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:33,104.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:38,108.0,28.3,36.8,36.9,22.9
2024-11-21 11:07:42,108.0,29.0,35.7,38.9,23.6
2024-11-21 11:07:43,104.0,29.0,35.7,38.9,23.6
2024-11-21 11:07:48,105.0,29.0,35.7,38.9,23.6
2024-11-21 11:07:54,108.0,29.0,35.7,38.9,23.6
2024-11-21 11:07:59,106.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:04,103.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:09,103.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:14,87.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:19,86.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:24,88.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:29,89.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:34,89.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:39,92.0,29.0,35.7,38.9,23.6
2024-11-21 11:08:42,92.0,29.8,33.8,39.9,23.9
2024-11-21 11:08:44,97.0,29.8,33.8,39.9,23.9
2024-11-21 11:08:49,99.0,29.8,33.8,39.9,23.9
2024-11-21 11:08:54,93.0,29.8,33.8,39.9,23.9
2024-11-21 11:08:59,91.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:03,92.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:09,96.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:13,97.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:18,99.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:23,96.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:29,95.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:34,100.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:39,102.0,29.8,33.8,39.9,23.9
2024-11-21 11:09:42,102.0,30.4,31.9,40.1,24.1
2024-11-21 11:09:44,101.0,30.4,31.9,40.1,24.1
2024-11-21 11:09:50,98.0,30.4,31.9,40.1,24.1
2024-11-21 11:09:54,100.0,30.4,31.9,40.1,24.1
2024-11-21 11:09:59,99.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:04,98.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:19,98.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:29,102.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:34,100.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:39,89.0,30.4,31.9,40.1,24.1
2024-11-21 11:10:42,89.0,30.9,30.3,40.2,24.2
2024-11-21 11:10:43,95.0,30.9,30.3,40.2,24.2
2024-11-21 11:10:50,95.0,30.9,30.3,40.2,24.2
2024-11-21 11:10:55,98.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:07,86.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:21,95.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:21,89.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:21,85.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:29,94.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:34,86.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:39,90.0,30.9,30.3,40.2,24.2
2024-11-21 11:11:42,90.0,31.5,29.8,40.3,24.4
2024-11-21 11:11:44,88.0,31.5,29.8,40.3,24.4
2024-11-21 11:11:49,88.0,31.5,29.8,40.3,24.4
2024-11-21 11:11:54,86.0,31.5,29.8,40.3,24.4
2024-11-21 11:11:59,86.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:04,87.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:08,97.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:14,100.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:19,101.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:23,106.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:28,99.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:34,103.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:39,103.0,31.5,29.8,40.3,24.4
2024-11-21 11:12:42,103.0,32.1,29.4,40.5,24.8
2024-11-21 11:12:44,106.0,32.1,29.4,40.5,24.8
2024-11-21 11:12:49,108.0,32.1,29.4,40.5,24.8
2024-11-21 11:12:54,106.0,32.1,29.4,40.5,24.8
2024-11-21 11:12:59,108.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:04,105.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:09,100.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:14,96.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:19,94.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:24,93.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:29,89.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:34,91.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:39,90.0,32.1,29.4,40.5,24.8
2024-11-21 11:13:42,90.0,32.6,28.6,40.8,25.0
2024-11-21 11:13:43,90.0,32.6,28.6,40.8,25.0
2024-11-21 11:13:48,91.0,32.6,28.6,40.8,25.0
2024-11-21 11:13:53,96.0,32.6,28.6,40.8,25.0
2024-11-21 11:13:59,97.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:04,97.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:09,96.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:14,95.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:19,98.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:24,108.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:29,111.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:34,112.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:39,125.0,32.6,28.6,40.8,25.0
2024-11-21 11:14:42,125.0,33.0,27.7,40.8,25.1
2024-11-21 11:14:44,124.0,33.0,27.7,40.8,25.1
2024-11-21 11:14:49,115.0,33.0,27.7,40.8,25.1
2024-11-21 11:14:54,116.0,33.0,27.7,40.8,25.1
2024-11-21 11:14:59,113.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:04,111.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:09,108.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:14,119.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:19,121.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:23,112.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:30,114.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:35,116.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:39,117.0,33.0,27.7,40.8,25.1
2024-11-21 11:15:42,117.0,33.6,27.2,40.9,25.3
2024-11-21 11:15:45,118.0,33.6,27.2,40.9,25.3
2024-11-21 11:15:49,116.0,33.6,27.2,40.9,25.3
2024-11-21 11:15:54,110.0,33.6,27.2,40.9,25.3
2024-11-21 11:15:59,99.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:04,97.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:09,92.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:14,88.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:19,87.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:24,89.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:30,90.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:34,89.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:39,91.0,33.6,27.2,40.9,25.3
2024-11-21 11:16:42,91.0,34.2,26.1,41.7,25.7
2024-11-21 11:16:44,91.0,34.2,26.1,41.7,25.7
2024-11-21 11:16:49,96.0,34.2,26.1,41.7,25.7
2024-11-21 11:16:53,99.0,34.2,26.1,41.7,25.7
2024-11-21 11:16:58,100.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:03,97.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:09,96.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:15,96.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:22,97.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:30,100.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:30,100.0,34.2,26.1,41.7,25.7
2024-11-21 11:17:42,100.0,34.3,25.7,41.1,25.6
2024-11-21 11:17:47,107.0,34.3,25.7,41.1,25.6
2024-11-21 11:17:47,102.0,34.3,25.7,41.1,25.6
2024-11-21 11:17:50,96.0,34.3,25.7,41.1,25.6
2024-11-21 11:17:54,108.0,34.3,25.7,41.1,25.6
2024-11-21 11:17:59,107.0,34.3,25.7,41.1,25.6
2024-11-21 11:18:04,106.0,34.3,25.7,41.1,25.6
2024-11-21 11:18:10,106.0,34.3,25.7,41.1,25.6
2024-11-21 11:18:15,106.0,34.3,25.7,41.1,25.6
2024-11-21 11:18:30,106.0,34.3,25.7,41.1,25.6
2024-11-21 11:18:42,106.0,34.6,25.5,40.7,25.6
2024-11-21 11:19:02,104.0,34.6,25.5,40.7,25.6
2024-11-21 11:19:42,104.0,34.7,25.0,39.9,25.4
2024-11-21 11:19:45,108.0,34.7,25.0,39.9,25.4
2024-11-21 11:19:45,107.0,34.7,25.0,39.9,25.4
2024-11-21 11:19:50,107.0,34.7,25.0,39.9,25.4
2024-11-21 11:19:55,107.0,34.7,25.0,39.9,25.4
